"show_city","show_town","province","city","electoral_district","town","village","candidate_no","candidate_name","political_party","party_name","vote_count"
"連江縣","連江縣第01選區","09","007","01","000","","1","朱秀平","1","中國國民黨","369"
"連江縣","連江縣第01選區","09","007","01","000","","2","林貽祥","1","中國國民黨","526"
"連江縣","連江縣第01選區","09","007","01","000","","3","曹以標","999","無黨籍及未經政黨推薦","681"
"連江縣","連江縣第01選區","09","007","01","000","","4","林惠萍","1","中國國民黨","314"
"連江縣","連江縣第01選區","09","007","01","000","","5","林明揚","1","中國國民黨","487"
"連江縣","連江縣第01選區","09","007","01","000","","6","陳書建","1","中國國民黨","445"
"連江縣","連江縣第01選區","09","007","01","000","","7","曹丞君","999","無黨籍及未經政黨推薦","491"
"連江縣","連江縣第01選區","09","007","01","000","","8","曹爾章","1","中國國民黨","434"
"連江縣","南竿鄉","09","007","01","010","","1","朱秀平","1","中國國民黨","369"
"連江縣","南竿鄉","09","007","01","010","","2","林貽祥","1","中國國民黨","526"
"連江縣","南竿鄉","09","007","01","010","","3","曹以標","999","無黨籍及未經政黨推薦","681"
"連江縣","南竿鄉","09","007","01","010","","4","林惠萍","1","中國國民黨","314"
"連江縣","南竿鄉","09","007","01","010","","5","林明揚","1","中國國民黨","487"
"連江縣","南竿鄉","09","007","01","010","","6","陳書建","1","中國國民黨","445"
"連江縣","南竿鄉","09","007","01","010","","7","曹丞君","999","無黨籍及未經政黨推薦","491"
"連江縣","南竿鄉","09","007","01","010","","8","曹爾章","1","中國國民黨","434"
"連江縣","連江縣第02選區","09","007","02","000","","1","陳貴忠","1","中國國民黨","438"
"連江縣","連江縣第02選區","09","007","02","000","","2","王長明","999","無黨籍及未經政黨推薦","394"
"連江縣","連江縣第02選區","09","007","02","000","","3","周瑞國","1","中國國民黨","478"
"連江縣","北竿鄉","09","007","02","020","","1","陳貴忠","1","中國國民黨","438"
"連江縣","北竿鄉","09","007","02","020","","2","王長明","999","無黨籍及未經政黨推薦","394"
"連江縣","北竿鄉","09","007","02","020","","3","周瑞國","1","中國國民黨","478"
"連江縣","連江縣第03選區","09","007","03","000","","1","柯玉官","1","中國國民黨","309"
"連江縣","連江縣第03選區","09","007","03","000","","2","陳貽斌","1","中國國民黨","465"
"連江縣","莒光鄉","09","007","03","030","","1","柯玉官","1","中國國民黨","309"
"連江縣","莒光鄉","09","007","03","030","","2","陳貽斌","1","中國國民黨","465"
"連江縣","連江縣第04選區","09","007","04","000","","1","張永江","999","無黨籍及未經政黨推薦","490"
"連江縣","連江縣第04選區","09","007","04","000","","2","馮印才","999","無黨籍及未經政黨推薦","319"
"連江縣","東引鄉","09","007","04","040","","1","張永江","999","無黨籍及未經政黨推薦","490"
