"show_city","show_town","province","city","electoral_district","town","village","candidate_no","candidate_name","political_party","party_name","vote_count"
"連江縣","連江縣","09","007","00","000","","1","劉增應","1","中國國民黨","4385"
"連江縣","連江縣","09","007","00","000","","2","楊綏生","1","中國國民黨","2234"
"連江縣","南竿鄉","09","007","00","010","","1","劉增應","1","中國國民黨","2402"
"連江縣","南竿鄉","09","007","00","010","","2","楊綏生","1","中國國民黨","1330"
"連江縣","北竿鄉","09","007","00","020","","1","劉增應","1","中國國民黨","929"
"連江縣","北竿鄉","09","007","00","020","","2","楊綏生","1","中國國民黨","388"
"連江縣","莒光鄉","09","007","00","030","","1","劉增應","1","中國國民黨","507"
"連江縣","莒光鄉","09","007","00","030","","2","楊綏生","1","中國國民黨","258"
"連江縣","東引鄉","09","007","00","040","","1","劉增應","1","中國國民黨","547"
"連江縣","東引鄉","09","007","00","040","","2","楊綏生","1","中國國民黨","258"
"金門縣","金門縣","09","020","00","000","","1","蘇龍科","999","無黨籍及未經政黨推薦","470"
"金門縣","金門縣","09","020","00","000","","2","雷由靖","999","無黨籍及未經政黨推薦","132"
"金門縣","金門縣","09","020","00","000","","3","陳福海","999","無黨籍及未經政黨推薦","23965"
"金門縣","金門縣","09","020","00","000","","4","李沃士","1","中國國民黨","15146"
"金門縣","金門縣","09","020","00","000","","5","汪成華","196","教科文預算保障e聯盟","403"
"金門縣","金門縣","09","020","00","000","","6","洪志恒","999","無黨籍及未經政黨推薦","636"
"金門縣","金門縣","09","020","00","000","","7","莊育民","999","無黨籍及未經政黨推薦","236"
"金門縣","金門縣","09","020","00","000","","8","林水泉","999","無黨籍及未經政黨推薦","240"
"金門縣","金門縣","09","020","00","000","","9","許乃權","999","無黨籍及未經政黨推薦","3834"
"金門縣","金門縣","09","020","00","000","","10","楊榮祥","999","無黨籍及未經政黨推薦","354"
"金門縣","金城鎮","09","020","00","010","","1","蘇龍科","999","無黨籍及未經政黨推薦","180"
"金門縣","金城鎮","09","020","00","010","","2","雷由靖","999","無黨籍及未經政黨推薦","38"
"金門縣","金城鎮","09","020","00","010","","3","陳福海","999","無黨籍及未經政黨推薦","7402"
"金門縣","金城鎮","09","020","00","010","","4","李沃士","1","中國國民黨","4519"
"金門縣","金城鎮","09","020","00","010","","5","汪成華","196","教科文預算保障e聯盟","139"
"金門縣","金城鎮","09","020","00","010","","6","洪志恒","999","無黨籍及未經政黨推薦","146"
"金門縣","金城鎮","09","020","00","010","","7","莊育民","999","無黨籍及未經政黨推薦","129"
"金門縣","金城鎮","09","020","00","010","","8","林水泉","999","無黨籍及未經政黨推薦","62"
"金門縣","金城鎮","09","020","00","010","","9","許乃權","999","無黨籍及未經政黨推薦","1934"
"金門縣","金城鎮","09","020","00","010","","10","楊榮祥","999","無黨籍及未經政黨推薦","166"
"金門縣","金沙鎮","09","020","00","020","","1","蘇龍科","999","無黨籍及未經政黨推薦","42"
"金門縣","金沙鎮","09","020","00","020","","2","雷由靖","999","無黨籍及未經政黨推薦","21"
"金門縣","金沙鎮","09","020","00","020","","3","陳福海","999","無黨籍及未經政黨推薦","4053"
"金門縣","金沙鎮","09","020","00","020","","4","李沃士","1","中國國民黨","2172"
"金門縣","金沙鎮","09","020","00","020","","5","汪成華","196","教科文預算保障e聯盟","33"
"金門縣","金沙鎮","09","020","00","020","","6","洪志恒","999","無黨籍及未經政黨推薦","38"
