"show_city","show_town","province","city","electoral_district","town","village","candidate_no","candidate_name","political_party","party_name","vote_count"
"臺北市","臺北市第08選區","63","000","08","000","","1","伊凡諾幹 Iban Nokan","16","民主進步黨","275"
"臺北市","臺北市第08選區","63","000","08","000","","2","高李茂俊","90","親民黨","121"
"臺北市","臺北市第08選區","63","000","08","000","","3","李傅中武","1","中國國民黨","2157"
"臺北市","松山區","63","000","08","010","","1","伊凡諾幹 Iban Nokan","16","民主進步黨","16"
"臺北市","松山區","63","000","08","010","","2","高李茂俊","90","親民黨","14"
"臺北市","松山區","63","000","08","010","","3","李傅中武","1","中國國民黨","160"
"臺北市","信義區","63","000","08","020","","1","伊凡諾幹 Iban Nokan","16","民主進步黨","12"
"臺北市","信義區","63","000","08","020","","2","高李茂俊","90","親民黨","3"
"臺北市","信義區","63","000","08","020","","3","李傅中武","1","中國國民黨","147"
"臺北市","大安區","63","000","08","030","","1","伊凡諾幹 Iban Nokan","16","民主進步黨","23"
"臺北市","大安區","63","000","08","030","","2","高李茂俊","90","親民黨","4"
"臺北市","大安區","63","000","08","030","","3","李傅中武","1","中國國民黨","200"
"臺北市","中山區","63","000","08","040","","1","伊凡諾幹 Iban Nokan","16","民主進步黨","36"
"臺北市","中山區","63","000","08","040","","2","高李茂俊","90","親民黨","19"
"臺北市","中山區","63","000","08","040","","3","李傅中武","1","中國國民黨","219"
"臺北市","中正區","63","000","08","050","","1","伊凡諾幹 Iban Nokan","16","民主進步黨","22"
"臺北市","中正區","63","000","08","050","","2","高李茂俊","90","親民黨","8"
"臺北市","中正區","63","000","08","050","","3","李傅中武","1","中國國民黨","81"
"臺北市","大同區","63","000","08","060","","1","伊凡諾幹 Iban Nokan","16","民主進步黨","14"
"臺北市","大同區","63","000","08","060","","2","高李茂俊","90","親民黨","7"
"臺北市","大同區","63","000","08","060","","3","李傅中武","1","中國國民黨","82"
"臺北市","萬華區","63","000","08","070","","1","伊凡諾幹 Iban Nokan","16","民主進步黨","13"
"臺北市","萬華區","63","000","08","070","","2","高李茂俊","90","親民黨","20"
"臺北市","萬華區","63","000","08","070","","3","李傅中武","1","中國國民黨","179"
"臺北市","文山區","63","000","08","080","","1","伊凡諾幹 Iban Nokan","16","民主進步黨","19"
"臺北市","文山區","63","000","08","080","","2","高李茂俊","90","親民黨","9"
"臺北市","文山區","63","000","08","080","","3","李傅中武","1","中國國民黨","293"
"臺北市","南港區","63","000","08","090","","1","伊凡諾幹 Iban Nokan","16","民主進步黨","15"
"臺北市","南港區","63","000","08","090","","2","高李茂俊","90","親民黨","4"
"臺北市","南港區","63","000","08","090","","3","李傅中武","1","中國國民黨","145"
"臺北市","內湖區","63","000","08","100","","1","伊凡諾幹 Iban Nokan","16","民主進步黨","39"
"臺北市","內湖區","63","000","08","100","","2","高李茂俊","90","親民黨","8"
"臺北市","內湖區","63","000","08","100","","3","李傅中武","1","中國國民黨","252"
"臺北市","士林區","63","000","08","110","","1","伊凡諾幹 Iban Nokan","16","民主進步黨","35"
"臺北市","士林區","63","000","08","110","","2","高李茂俊","90","親民黨","13"
"臺北市","士林區","63","000","08","110","","3","李傅中武","1","中國國民黨","190"
"臺北市","北投區","63","000","08","120","","1","伊凡諾幹 Iban Nokan","16","民主進步黨","31"
"臺北市","北投區","63","000","08","120","","2","高李茂俊","90","親民黨","12"
"臺北市","北投區","63","000","08","120","","3","李傅中武","1","中國國民黨","209"
"高雄市","高雄市第13選區","64","000","13","000","","1","柯路加 Istanda Ciban","1","中國國民黨","1424"
"高雄市","高雄市第13選區","64","000","13","000","","2","林民傑","999","無黨籍及未經政黨推薦","1576"
"高雄市","左營區","64","000","13","030","","1","柯路加 Istanda Ciban","1","中國國民黨","190"
"高雄市","左營區","64","000","13","030","","2","林民傑","999","無黨籍及未經政黨推薦","152"
"高雄市","楠梓區","64","000","13","040","","1","柯路加 Istanda Ciban","1","中國國民黨","151"
"高雄市","楠梓區","64","000","13","040","","2","林民傑","999","無黨籍及未經政黨推薦","199"
"高雄市","三民區","64","000","13","050","","1","柯路加 Istanda Ciban","1","中國國民黨","105"
"高雄市","三民區","64","000","13","050","","2","林民傑","999","無黨籍及未經政黨推薦","76"
"高雄市","路竹區","64","000","13","240","","1","柯路加 Istanda Ciban","1","中國國民黨","14"
"高雄市","路竹區","64","000","13","240","","2","林民傑","999","無黨籍及未經政黨推薦","6"
"高雄市","湖內區","64","000","13","250","","1","柯路加 Istanda Ciban","1","中國國民黨","19"
"高雄市","湖內區","64","000","13","250","","2","林民傑","999","無黨籍及未經政黨推薦","9"
"高雄市","茄萣區","64","000","13","260","","1","柯路加 Istanda Ciban","1","中國國民黨","7"
"高雄市","茄萣區","64","000","13","260","","2","林民傑","999","無黨籍及未經政黨推薦","3"
"高雄市","永安區","64","000","13","270","","1","柯路加 Istanda Ciban","1","中國國民黨","7"
"高雄市","永安區","64","000","13","270","","2","林民傑","999","無黨籍及未經政黨推薦","7"
"高雄市","彌陀區","64","000","13","280","","1","柯路加 Istanda Ciban","1","中國國民黨","6"
"高雄市","彌陀區","64","000","13","280","","2","林民傑","999","無黨籍及未經政黨推薦","8"
"高雄市","梓官區","64","000","13","290","","1","柯路加 Istanda Ciban","1","中國國民黨","18"
"高雄市","梓官區","64","000","13","290","","2","林民傑","999","無黨籍及未經政黨推薦","19"
"高雄市","旗山區","64","000","13","300","","1","柯路加 Istanda Ciban","1","中國國民黨","14"
"高雄市","旗山區","64","000","13","300","","2","林民傑","999","無黨籍及未經政黨推薦","17"
"高雄市","甲仙區","64","000","13","330","","1","柯路加 Istanda Ciban","1","中國國民黨","11"
"高雄市","甲仙區","64","000","13","330","","2","林民傑","999","無黨籍及未經政黨推薦","11"
"高雄市","杉林區","64","000","13","340","","1","柯路加 Istanda Ciban","1","中國國民黨","121"
"高雄市","杉林區","64","000","13","340","","2","林民傑","999","無黨籍及未經政黨推薦","118"
"高雄市","內門區","64","000","13","350","","1","柯路加 Istanda Ciban","1","中國國民黨","15"
"高雄市","內門區","64","000","13","350","","2","林民傑","999","無黨籍及未經政黨推薦","5"
"高雄市","那瑪夏區","64","000","13","380","","1","柯路加 Istanda Ciban","1","中國國民黨","746"
"高雄市","那瑪夏區","64","000","13","380","","2","林民傑","999","無黨籍及未經政黨推薦","946"
"高雄市","高雄市第14選區","64","000","14","000","","1","理斷‧搭給嚕嘟嗯Islituan‧Takiludun","999","無黨籍及未經政黨推薦","1201"
"高雄市","高雄市第14選區","64","000","14","000","","2","高秀琴","1","中國國民黨","605"
"高雄市","高雄市第14選區","64","000","14","000","","3","伊斯坦大‧貝雅夫‧正福Istanda‧Paingav","999","無黨籍及未經政黨推薦","1267"
"高雄市","鹽埕區","64","000","14","010","","1","理斷‧搭給嚕嘟嗯Islituan‧Takiludun","999","無黨籍及未經政黨推薦","5"
"高雄市","鹽埕區","64","000","14","010","","2","高秀琴","1","中國國民黨","6"
"高雄市","鹽埕區","64","000","14","010","","3","伊斯坦大‧貝雅夫‧正福Istanda‧Paingav","999","無黨籍及未經政黨推薦","5"
"高雄市","鼓山區","64","000","14","020","","1","理斷‧搭給嚕嘟嗯Islituan‧Takiludun","999","無黨籍及未經政黨推薦","28"
"高雄市","鼓山區","64","000","14","020","","2","高秀琴","1","中國國民黨","28"
"高雄市","鼓山區","64","000","14","020","","3","伊斯坦大‧貝雅夫‧正福Istanda‧Paingav","999","無黨籍及未經政黨推薦","55"
"高雄市","新興區","64","000","14","060","","1","理斷‧搭給嚕嘟嗯Islituan‧Takiludun","999","無黨籍及未經政黨推薦","3"
"高雄市","新興區","64","000","14","060","","2","高秀琴","1","中國國民黨","10"
"高雄市","新興區","64","000","14","060","","3","伊斯坦大‧貝雅夫‧正福Istanda‧Paingav","999","無黨籍及未經政黨推薦","10"
"高雄市","前金區","64","000","14","070","","1","理斷‧搭給嚕嘟嗯Islituan‧Takiludun","999","無黨籍及未經政黨推薦","0"
"高雄市","前金區","64","000","14","070","","2","高秀琴","1","中國國民黨","6"
"高雄市","前金區","64","000","14","070","","3","伊斯坦大‧貝雅夫‧正福Istanda‧Paingav","999","無黨籍及未經政黨推薦","2"
"高雄市","岡山區","64","000","14","190","","1","理斷‧搭給嚕嘟嗯Islituan‧Takiludun","999","無黨籍及未經政黨推薦","40"
"高雄市","岡山區","64","000","14","190","","2","高秀琴","1","中國國民黨","76"
"高雄市","岡山區","64","000","14","190","","3","伊斯坦大‧貝雅夫‧正福Istanda‧Paingav","999","無黨籍及未經政黨推薦","86"
"高雄市","橋頭區","64","000","14","200","","1","理斷‧搭給嚕嘟嗯Islituan‧Takiludun","999","無黨籍及未經政黨推薦","5"
"高雄市","橋頭區","64","000","14","200","","2","高秀琴","1","中國國民黨","6"
"高雄市","橋頭區","64","000","14","200","","3","伊斯坦大‧貝雅夫‧正福Istanda‧Paingav","999","無黨籍及未經政黨推薦","12"
"高雄市","燕巢區","64","000","14","210","","1","理斷‧搭給嚕嘟嗯Islituan‧Takiludun","999","無黨籍及未經政黨推薦","7"
"高雄市","燕巢區","64","000","14","210","","2","高秀琴","1","中國國民黨","10"
"高雄市","燕巢區","64","000","14","210","","3","伊斯坦大‧貝雅夫‧正福Istanda‧Paingav","999","無黨籍及未經政黨推薦","27"
"高雄市","田寮區","64","000","14","220","","1","理斷‧搭給嚕嘟嗯Islituan‧Takiludun","999","無黨籍及未經政黨推薦","0"
"高雄市","田寮區","64","000","14","220","","2","高秀琴","1","中國國民黨","3"
"高雄市","田寮區","64","000","14","220","","3","伊斯坦大‧貝雅夫‧正福Istanda‧Paingav","999","無黨籍及未經政黨推薦","1"
"高雄市","阿蓮區","64","000","14","230","","1","理斷‧搭給嚕嘟嗯Islituan‧Takiludun","999","無黨籍及未經政黨推薦","7"
"高雄市","阿蓮區","64","000","14","230","","2","高秀琴","1","中國國民黨","5"
"高雄市","阿蓮區","64","000","14","230","","3","伊斯坦大‧貝雅夫‧正福Istanda‧Paingav","999","無黨籍及未經政黨推薦","14"
"高雄市","美濃區","64","000","14","310","","1","理斷‧搭給嚕嘟嗯Islituan‧Takiludun","999","無黨籍及未經政黨推薦","4"
"高雄市","美濃區","64","000","14","310","","2","高秀琴","1","中國國民黨","7"
"高雄市","美濃區","64","000","14","310","","3","伊斯坦大‧貝雅夫‧正福Istanda‧Paingav","999","無黨籍及未經政黨推薦","24"
"高雄市","六龜區","64","000","14","320","","1","理斷‧搭給嚕嘟嗯Islituan‧Takiludun","999","無黨籍及未經政黨推薦","53"
"高雄市","六龜區","64","000","14","320","","2","高秀琴","1","中國國民黨","77"
"高雄市","六龜區","64","000","14","320","","3","伊斯坦大‧貝雅夫‧正福Istanda‧Paingav","999","無黨籍及未經政黨推薦","46"
"高雄市","桃源區","64","000","14","370","","1","理斷‧搭給嚕嘟嗯Islituan‧Takiludun","999","無黨籍及未經政黨推薦","1049"
"高雄市","桃源區","64","000","14","370","","2","高秀琴","1","中國國民黨","371"
"高雄市","桃源區","64","000","14","370","","3","伊斯坦大‧貝雅夫‧正福Istanda‧Paingav","999","無黨籍及未經政黨推薦","985"
"高雄市","高雄市第15選區","64","000","15","000","","1","范織欽Pasulang‧Tomatalate","999","無黨籍及未經政黨推薦","1608"
"高雄市","高雄市第15選區","64","000","15","000","","2","唐惠美","1","中國國民黨","1625"
"高雄市","苓雅區","64","000","15","080","","1","范織欽Pasulang‧Tomatalate","999","無黨籍及未經政黨推薦","61"
"高雄市","苓雅區","64","000","15","080","","2","唐惠美","1","中國國民黨","46"
"高雄市","前鎮區","64","000","15","090","","1","范織欽Pasulang‧Tomatalate","999","無黨籍及未經政黨推薦","80"
"高雄市","前鎮區","64","000","15","090","","2","唐惠美","1","中國國民黨","110"
"高雄市","旗津區","64","000","15","100","","1","范織欽Pasulang‧Tomatalate","999","無黨籍及未經政黨推薦","26"
"高雄市","旗津區","64","000","15","100","","2","唐惠美","1","中國國民黨","17"
"高雄市","小港區","64","000","15","110","","1","范織欽Pasulang‧Tomatalate","999","無黨籍及未經政黨推薦","155"
"高雄市","小港區","64","000","15","110","","2","唐惠美","1","中國國民黨","180"
"高雄市","鳳山區","64","000","15","120","","1","范織欽Pasulang‧Tomatalate","999","無黨籍及未經政黨推薦","253"
"高雄市","鳳山區","64","000","15","120","","2","唐惠美","1","中國國民黨","241"
"高雄市","林園區","64","000","15","130","","1","范織欽Pasulang‧Tomatalate","999","無黨籍及未經政黨推薦","91"
"高雄市","林園區","64","000","15","130","","2","唐惠美","1","中國國民黨","82"
"高雄市","大寮區","64","000","15","140","","1","范織欽Pasulang‧Tomatalate","999","無黨籍及未經政黨推薦","182"
"高雄市","大寮區","64","000","15","140","","2","唐惠美","1","中國國民黨","187"
"高雄市","大樹區","64","000","15","150","","1","范織欽Pasulang‧Tomatalate","999","無黨籍及未經政黨推薦","59"
"高雄市","大樹區","64","000","15","150","","2","唐惠美","1","中國國民黨","101"
"高雄市","大社區","64","000","15","160","","1","范織欽Pasulang‧Tomatalate","999","無黨籍及未經政黨推薦","15"
"高雄市","大社區","64","000","15","160","","2","唐惠美","1","中國國民黨","8"
"高雄市","仁武區","64","000","15","170","","1","范織欽Pasulang‧Tomatalate","999","無黨籍及未經政黨推薦","56"
"高雄市","仁武區","64","000","15","170","","2","唐惠美","1","中國國民黨","46"
"高雄市","鳥松區","64","000","15","180","","1","范織欽Pasulang‧Tomatalate","999","無黨籍及未經政黨推薦","24"
"高雄市","鳥松區","64","000","15","180","","2","唐惠美","1","中國國民黨","13"
"高雄市","茂林區","64","000","15","360","","1","范織欽Pasulang‧Tomatalate","999","無黨籍及未經政黨推薦","606"
"高雄市","茂林區","64","000","15","360","","2","唐惠美","1","中國國民黨","594"
"新北市","新北市第12選區","65","000","12","000","","1","寶杜巴燕Bawtu‧Payen","16","民主進步黨","1303"
"新北市","新北市第12選區","65","000","12","000","","2","王建章","1","中國國民黨","2045"
"新北市","新北市第12選區","65","000","12","000","","3","陳勝榮","90","親民黨","1957"
"新北市","板橋區","65","000","12","010","","1","寶杜巴燕Bawtu‧Payen","16","民主進步黨","127"
"新北市","板橋區","65","000","12","010","","2","王建章","1","中國國民黨","116"
"新北市","板橋區","65","000","12","010","","3","陳勝榮","90","親民黨","100"
"新北市","三重區","65","000","12","020","","1","寶杜巴燕Bawtu‧Payen","16","民主進步黨","86"
"新北市","三重區","65","000","12","020","","2","王建章","1","中國國民黨","69"
"新北市","三重區","65","000","12","020","","3","陳勝榮","90","親民黨","54"
"新北市","中和區","65","000","12","030","","1","寶杜巴燕Bawtu‧Payen","16","民主進步黨","120"
"新北市","中和區","65","000","12","030","","2","王建章","1","中國國民黨","104"
"新北市","中和區","65","000","12","030","","3","陳勝榮","90","親民黨","87"
"新北市","永和區","65","000","12","040","","1","寶杜巴燕Bawtu‧Payen","16","民主進步黨","57"
