"show_city","show_town","province","city","electoral_district","town","village","candidate_no","candidate_name","political_party","party_name","vote_count"
"臺北市","臺北市第07選區","63","000","07","000","","1","馬耀．谷木","16","民主進步黨","754"
"臺北市","臺北市第07選區","63","000","07","000","","2","李芳儒","1","中國國民黨","2937"
"臺北市","松山區","63","000","07","010","","1","馬耀．谷木","16","民主進步黨","37"
"臺北市","松山區","63","000","07","010","","2","李芳儒","1","中國國民黨","163"
"臺北市","信義區","63","000","07","020","","1","馬耀．谷木","16","民主進步黨","49"
"臺北市","信義區","63","000","07","020","","2","李芳儒","1","中國國民黨","178"
"臺北市","大安區","63","000","07","030","","1","馬耀．谷木","16","民主進步黨","46"
"臺北市","大安區","63","000","07","030","","2","李芳儒","1","中國國民黨","179"
"臺北市","中山區","63","000","07","040","","1","馬耀．谷木","16","民主進步黨","62"
"臺北市","中山區","63","000","07","040","","2","李芳儒","1","中國國民黨","216"
"臺北市","中正區","63","000","07","050","","1","馬耀．谷木","16","民主進步黨","27"
"臺北市","中正區","63","000","07","050","","2","李芳儒","1","中國國民黨","135"
"臺北市","大同區","63","000","07","060","","1","馬耀．谷木","16","民主進步黨","40"
"臺北市","大同區","63","000","07","060","","2","李芳儒","1","中國國民黨","96"
"臺北市","萬華區","63","000","07","070","","1","馬耀．谷木","16","民主進步黨","47"
"臺北市","萬華區","63","000","07","070","","2","李芳儒","1","中國國民黨","198"
"臺北市","文山區","63","000","07","080","","1","馬耀．谷木","16","民主進步黨","109"
"臺北市","文山區","63","000","07","080","","2","李芳儒","1","中國國民黨","315"
"臺北市","南港區","63","000","07","090","","1","馬耀．谷木","16","民主進步黨","75"
"臺北市","南港區","63","000","07","090","","2","李芳儒","1","中國國民黨","351"
"臺北市","內湖區","63","000","07","100","","1","馬耀．谷木","16","民主進步黨","122"
"臺北市","內湖區","63","000","07","100","","2","李芳儒","1","中國國民黨","562"
"臺北市","士林區","63","000","07","110","","1","馬耀．谷木","16","民主進步黨","64"
"臺北市","士林區","63","000","07","110","","2","李芳儒","1","中國國民黨","250"
"臺北市","北投區","63","000","07","120","","1","馬耀．谷木","16","民主進步黨","76"
"臺北市","北投區","63","000","07","120","","2","李芳儒","1","中國國民黨","294"
"高雄市","高雄市第12選區","64","000","12","000","","1","俄鄧‧殷艾Eteng‧Ingay","16","民主進步黨","2590"
"高雄市","高雄市第12選區","64","000","12","000","","2","王義雄","1","中國國民黨","1732"
"高雄市","鹽埕區","64","000","12","010","","1","俄鄧‧殷艾Eteng‧Ingay","16","民主進步黨","10"
"高雄市","鹽埕區","64","000","12","010","","2","王義雄","1","中國國民黨","2"
"高雄市","鼓山區","64","000","12","020","","1","俄鄧‧殷艾Eteng‧Ingay","16","民主進步黨","56"
"高雄市","鼓山區","64","000","12","020","","2","王義雄","1","中國國民黨","41"
"高雄市","左營區","64","000","12","030","","1","俄鄧‧殷艾Eteng‧Ingay","16","民主進步黨","151"
"高雄市","左營區","64","000","12","030","","2","王義雄","1","中國國民黨","116"
"高雄市","楠梓區","64","000","12","040","","1","俄鄧‧殷艾Eteng‧Ingay","16","民主進步黨","209"
"高雄市","楠梓區","64","000","12","040","","2","王義雄","1","中國國民黨","126"
"高雄市","三民區","64","000","12","050","","1","俄鄧‧殷艾Eteng‧Ingay","16","民主進步黨","143"
"高雄市","三民區","64","000","12","050","","2","王義雄","1","中國國民黨","65"
"高雄市","新興區","64","000","12","060","","1","俄鄧‧殷艾Eteng‧Ingay","16","民主進步黨","14"
"高雄市","新興區","64","000","12","060","","2","王義雄","1","中國國民黨","10"
"高雄市","前金區","64","000","12","070","","1","俄鄧‧殷艾Eteng‧Ingay","16","民主進步黨","12"
"高雄市","前金區","64","000","12","070","","2","王義雄","1","中國國民黨","4"
"高雄市","苓雅區","64","000","12","080","","1","俄鄧‧殷艾Eteng‧Ingay","16","民主進步黨","73"
"高雄市","苓雅區","64","000","12","080","","2","王義雄","1","中國國民黨","53"
"高雄市","前鎮區","64","000","12","090","","1","俄鄧‧殷艾Eteng‧Ingay","16","民主進步黨","370"
"高雄市","前鎮區","64","000","12","090","","2","王義雄","1","中國國民黨","229"
"高雄市","旗津區","64","000","12","100","","1","俄鄧‧殷艾Eteng‧Ingay","16","民主進步黨","5"
"高雄市","旗津區","64","000","12","100","","2","王義雄","1","中國國民黨","6"
"高雄市","小港區","64","000","12","110","","1","俄鄧‧殷艾Eteng‧Ingay","16","民主進步黨","683"
"高雄市","小港區","64","000","12","110","","2","王義雄","1","中國國民黨","365"
"高雄市","鳳山區","64","000","12","120","","1","俄鄧‧殷艾Eteng‧Ingay","16","民主進步黨","226"
"高雄市","鳳山區","64","000","12","120","","2","王義雄","1","中國國民黨","193"
"高雄市","林園區","64","000","12","130","","1","俄鄧‧殷艾Eteng‧Ingay","16","民主進步黨","63"
"高雄市","林園區","64","000","12","130","","2","王義雄","1","中國國民黨","94"
