"show_city","show_town","province","city","electoral_district","town","village","candidate_no","candidate_name","political_party","party_name","vote_count"
"宜蘭縣","宜蘭縣第11選區","10","002","11","000","","1","孫湯玉惠","999","無黨籍及未經政黨推薦","485"
"宜蘭縣","宜蘭縣第11選區","10","002","11","000","","2","陳慶喜","1","中國國民黨","280"
"宜蘭縣","宜蘭縣第11選區","10","002","11","000","","3","洪林雨萍","999","無黨籍及未經政黨推薦","133"
"宜蘭縣","宜蘭縣第11選區","10","002","11","000","","4","陳柳造","999","無黨籍及未經政黨推薦","101"
"宜蘭縣","宜蘭市","10","002","11","010","","1","孫湯玉惠","999","無黨籍及未經政黨推薦","66"
"宜蘭縣","宜蘭市","10","002","11","010","","2","陳慶喜","1","中國國民黨","45"
"宜蘭縣","宜蘭市","10","002","11","010","","3","洪林雨萍","999","無黨籍及未經政黨推薦","12"
"宜蘭縣","宜蘭市","10","002","11","010","","4","陳柳造","999","無黨籍及未經政黨推薦","1"
"宜蘭縣","羅東鎮","10","002","11","020","","1","孫湯玉惠","999","無黨籍及未經政黨推薦","72"
"宜蘭縣","羅東鎮","10","002","11","020","","2","陳慶喜","1","中國國民黨","16"
"宜蘭縣","羅東鎮","10","002","11","020","","3","洪林雨萍","999","無黨籍及未經政黨推薦","11"
"宜蘭縣","羅東鎮","10","002","11","020","","4","陳柳造","999","無黨籍及未經政黨推薦","1"
"宜蘭縣","蘇澳鎮","10","002","11","030","","1","孫湯玉惠","999","無黨籍及未經政黨推薦","82"
"宜蘭縣","蘇澳鎮","10","002","11","030","","2","陳慶喜","1","中國國民黨","54"
"宜蘭縣","蘇澳鎮","10","002","11","030","","3","洪林雨萍","999","無黨籍及未經政黨推薦","39"
"宜蘭縣","蘇澳鎮","10","002","11","030","","4","陳柳造","999","無黨籍及未經政黨推薦","58"
"宜蘭縣","頭城鎮","10","002","11","040","","1","孫湯玉惠","999","無黨籍及未經政黨推薦","25"
"宜蘭縣","頭城鎮","10","002","11","040","","2","陳慶喜","1","中國國民黨","31"
"宜蘭縣","頭城鎮","10","002","11","040","","3","洪林雨萍","999","無黨籍及未經政黨推薦","7"
"宜蘭縣","頭城鎮","10","002","11","040","","4","陳柳造","999","無黨籍及未經政黨推薦","8"
"宜蘭縣","礁溪鄉","10","002","11","050","","1","孫湯玉惠","999","無黨籍及未經政黨推薦","40"
"宜蘭縣","礁溪鄉","10","002","11","050","","2","陳慶喜","1","中國國民黨","29"
"宜蘭縣","礁溪鄉","10","002","11","050","","3","洪林雨萍","999","無黨籍及未經政黨推薦","9"
"宜蘭縣","礁溪鄉","10","002","11","050","","4","陳柳造","999","無黨籍及未經政黨推薦","3"
"宜蘭縣","壯圍鄉","10","002","11","060","","1","孫湯玉惠","999","無黨籍及未經政黨推薦","23"
"宜蘭縣","壯圍鄉","10","002","11","060","","2","陳慶喜","1","中國國民黨","12"
"宜蘭縣","壯圍鄉","10","002","11","060","","3","洪林雨萍","999","無黨籍及未經政黨推薦","0"
"宜蘭縣","壯圍鄉","10","002","11","060","","4","陳柳造","999","無黨籍及未經政黨推薦","5"
"宜蘭縣","員山鄉","10","002","11","070","","1","孫湯玉惠","999","無黨籍及未經政黨推薦","22"
"宜蘭縣","員山鄉","10","002","11","070","","2","陳慶喜","1","中國國民黨","9"
"宜蘭縣","員山鄉","10","002","11","070","","3","洪林雨萍","999","無黨籍及未經政黨推薦","2"
"宜蘭縣","員山鄉","10","002","11","070","","4","陳柳造","999","無黨籍及未經政黨推薦","0"
"宜蘭縣","冬山鄉","10","002","11","080","","1","孫湯玉惠","999","無黨籍及未經政黨推薦","45"
"宜蘭縣","冬山鄉","10","002","11","080","","2","陳慶喜","1","中國國民黨","15"
"宜蘭縣","冬山鄉","10","002","11","080","","3","洪林雨萍","999","無黨籍及未經政黨推薦","4"
