"show_city","show_town","province","city","electoral_district","town","village","candidate_no","candidate_name","political_party","party_name","vote_count"
"宜蘭縣","宜蘭縣第12選區","10","002","12","000","","1","陳傑麟","90","親民黨","2366"
"宜蘭縣","宜蘭縣第12選區","10","002","12","000","","2","王進生","1","中國國民黨","1502"
"宜蘭縣","宜蘭市","10","002","12","010","","1","陳傑麟","90","親民黨","174"
"宜蘭縣","宜蘭市","10","002","12","010","","2","王進生","1","中國國民黨","132"
"宜蘭縣","頭城鎮","10","002","12","040","","1","陳傑麟","90","親民黨","25"
"宜蘭縣","頭城鎮","10","002","12","040","","2","王進生","1","中國國民黨","11"
"宜蘭縣","礁溪鄉","10","002","12","050","","1","陳傑麟","90","親民黨","32"
"宜蘭縣","礁溪鄉","10","002","12","050","","2","王進生","1","中國國民黨","20"
"宜蘭縣","壯圍鄉","10","002","12","060","","1","陳傑麟","90","親民黨","33"
"宜蘭縣","壯圍鄉","10","002","12","060","","2","王進生","1","中國國民黨","12"
"宜蘭縣","員山鄉","10","002","12","070","","1","陳傑麟","90","親民黨","55"
"宜蘭縣","員山鄉","10","002","12","070","","2","王進生","1","中國國民黨","42"
"宜蘭縣","三星鄉","10","002","12","100","","1","陳傑麟","90","親民黨","68"
"宜蘭縣","三星鄉","10","002","12","100","","2","王進生","1","中國國民黨","52"
"宜蘭縣","大同鄉","10","002","12","110","","1","陳傑麟","90","親民黨","1979"
"宜蘭縣","大同鄉","10","002","12","110","","2","王進生","1","中國國民黨","1233"
"宜蘭縣","宜蘭縣第13選區","10","002","13","000","","1","謝耀祖","999","無黨籍及未經政黨推薦","764"
"宜蘭縣","宜蘭縣第13選區","10","002","13","000","","2","陳孝仁","1","中國國民黨","988"
"宜蘭縣","宜蘭縣第13選區","10","002","13","000","","3","陳俊豪","999","無黨籍及未經政黨推薦","1011"
"宜蘭縣","宜蘭縣第13選區","10","002","13","000","","4","松王淑珍","999","無黨籍及未經政黨推薦","1282"
"宜蘭縣","羅東鎮","10","002","13","020","","1","謝耀祖","999","無黨籍及未經政黨推薦","50"
"宜蘭縣","羅東鎮","10","002","13","020","","2","陳孝仁","1","中國國民黨","128"
"宜蘭縣","羅東鎮","10","002","13","020","","3","陳俊豪","999","無黨籍及未經政黨推薦","93"
