"show_city","show_town","province","city","electoral_district","town","village","candidate_no","candidate_name","political_party","party_name","vote_count"
"臺北市","臺北市第01選區","63","000","01","000","","1","王芝安","199","人民民主黨","1362"
"臺北市","臺北市第01選區","63","000","01","000","","2","陳建銘","999","無黨籍及未經政黨推薦","13166"
"臺北市","臺北市第01選區","63","000","01","000","","3","李美津","999","無黨籍及未經政黨推薦","5407"
"臺北市","臺北市第01選區","63","000","01","000","","4","徐書慧","999","無黨籍及未經政黨推薦","3217"
"臺北市","臺北市第01選區","63","000","01","000","","5","陳賢蔚","16","民主進步黨","12737"
"臺北市","臺北市第01選區","63","000","01","000","","6","劉仕傑","269","社會民主黨","3446"
"臺北市","臺北市第01選區","63","000","01","000","","7","林瑞圖","999","無黨籍及未經政黨推薦","19427"
"臺北市","臺北市第01選區","63","000","01","000","","8","汪志冰","1","中國國民黨","19120"
"臺北市","臺北市第01選區","63","000","01","000","","9","謝維洲","16","民主進步黨","12272"
"臺北市","臺北市第01選區","63","000","01","000","","10","王威中","16","民主進步黨","11322"
"臺北市","臺北市第01選區","63","000","01","000","","11","王奕凱","999","無黨籍及未經政黨推薦","5716"
"臺北市","臺北市第01選區","63","000","01","000","","12","侯漢廷","74","新黨","15656"
"臺北市","臺北市第01選區","63","000","01","000","","13","黃郁芬","267","時代力量","13213"
"臺北市","臺北市第01選區","63","000","01","000","","14","陳政忠","999","無黨籍及未經政黨推薦","17613"
"臺北市","臺北市第01選區","63","000","01","000","","15","潘懷宗","74","新黨","17145"
"臺北市","臺北市第01選區","63","000","01","000","","16","王映心","303","基進黨","2411"
"臺北市","臺北市第01選區","63","000","01","000","","17","張斯綱","1","中國國民黨","19605"
"臺北市","臺北市第01選區","63","000","01","000","","18","陳重文","1","中國國民黨","14954"
"臺北市","臺北市第01選區","63","000","01","000","","19","鍾佩玲","16","民主進步黨","18423"
"臺北市","臺北市第01選區","63","000","01","000","","20","林世宗","16","民主進步黨","13787"
"臺北市","臺北市第01選區","63","000","01","000","","21","陳慈慧","16","民主進步黨","14562"
"臺北市","臺北市第01選區","63","000","01","000","","22","林杏兒","1","中國國民黨","11429"
"臺北市","臺北市第01選區","63","000","01","000","","23","楊靜宇","999","無黨籍及未經政黨推薦","14295"
"臺北市","士林區","63","000","01","110","","1","王芝安","199","人民民主黨","925"
"臺北市","士林區","63","000","01","110","","2","陳建銘","999","無黨籍及未經政黨推薦","8830"
"臺北市","士林區","63","000","01","110","","3","李美津","999","無黨籍及未經政黨推薦","2624"
"臺北市","士林區","63","000","01","110","","4","徐書慧","999","無黨籍及未經政黨推薦","1685"
"臺北市","士林區","63","000","01","110","","5","陳賢蔚","16","民主進步黨","6116"
"臺北市","士林區","63","000","01","110","","6","劉仕傑","269","社會民主黨","1591"
"臺北市","士林區","63","000","01","110","","7","林瑞圖","999","無黨籍及未經政黨推薦","7160"
"臺北市","士林區","63","000","01","110","","8","汪志冰","1","中國國民黨","9927"
"臺北市","士林區","63","000","01","110","","9","謝維洲","16","民主進步黨","7340"
"臺北市","士林區","63","000","01","110","","10","王威中","16","民主進步黨","6496"
"臺北市","士林區","63","000","01","110","","11","王奕凱","999","無黨籍及未經政黨推薦","2644"
"臺北市","士林區","63","000","01","110","","12","侯漢廷","74","新黨","8315"
"臺北市","士林區","63","000","01","110","","13","黃郁芬","267","時代力量","6733"
"臺北市","士林區","63","000","01","110","","14","陳政忠","999","無黨籍及未經政黨推薦","12384"
"臺北市","士林區","63","000","01","110","","15","潘懷宗","74","新黨","9462"
"臺北市","士林區","63","000","01","110","","16","王映心","303","基進黨","1308"
"臺北市","士林區","63","000","01","110","","17","張斯綱","1","中國國民黨","11076"
"臺北市","士林區","63","000","01","110","","18","陳重文","1","中國國民黨","5056"
"臺北市","士林區","63","000","01","110","","19","鍾佩玲","16","民主進步黨","10914"
"臺北市","士林區","63","000","01","110","","20","林世宗","16","民主進步黨","5892"
"臺北市","士林區","63","000","01","110","","21","陳慈慧","16","民主進步黨","9135"
"臺北市","士林區","63","000","01","110","","22","林杏兒","1","中國國民黨","4950"
"臺北市","士林區","63","000","01","110","","23","楊靜宇","999","無黨籍及未經政黨推薦","9094"
"臺北市","北投區","63","000","01","120","","1","王芝安","199","人民民主黨","437"
"臺北市","北投區","63","000","01","120","","2","陳建銘","999","無黨籍及未經政黨推薦","4336"
"臺北市","北投區","63","000","01","120","","3","李美津","999","無黨籍及未經政黨推薦","2783"
"臺北市","北投區","63","000","01","120","","4","徐書慧","999","無黨籍及未經政黨推薦","1532"
"臺北市","北投區","63","000","01","120","","5","陳賢蔚","16","民主進步黨","6621"
"臺北市","北投區","63","000","01","120","","6","劉仕傑","269","社會民主黨","1855"
"臺北市","北投區","63","000","01","120","","7","林瑞圖","999","無黨籍及未經政黨推薦","12267"
"臺北市","北投區","63","000","01","120","","8","汪志冰","1","中國國民黨","9193"
"臺北市","北投區","63","000","01","120","","9","謝維洲","16","民主進步黨","4932"
"臺北市","北投區","63","000","01","120","","10","王威中","16","民主進步黨","4826"
"臺北市","北投區","63","000","01","120","","11","王奕凱","999","無黨籍及未經政黨推薦","3072"
"臺北市","北投區","63","000","01","120","","12","侯漢廷","74","新黨","7341"
"臺北市","北投區","63","000","01","120","","13","黃郁芬","267","時代力量","6480"
"臺北市","北投區","63","000","01","120","","14","陳政忠","999","無黨籍及未經政黨推薦","5229"
"臺北市","北投區","63","000","01","120","","15","潘懷宗","74","新黨","7683"
"臺北市","北投區","63","000","01","120","","16","王映心","303","基進黨","1103"
"臺北市","北投區","63","000","01","120","","17","張斯綱","1","中國國民黨","8529"
"臺北市","北投區","63","000","01","120","","18","陳重文","1","中國國民黨","9898"
"臺北市","北投區","63","000","01","120","","19","鍾佩玲","16","民主進步黨","7509"
"臺北市","北投區","63","000","01","120","","20","林世宗","16","民主進步黨","7895"
"臺北市","北投區","63","000","01","120","","21","陳慈慧","16","民主進步黨","5427"
"臺北市","北投區","63","000","01","120","","22","林杏兒","1","中國國民黨","6479"
"臺北市","北投區","63","000","01","120","","23","楊靜宇","999","無黨籍及未經政黨推薦","5201"
"臺北市","臺北市第02選區","63","000","02","000","","1","闕枚莎","1","中國國民黨","24248"
"臺北市","臺北市第02選區","63","000","02","000","","2","王孝維","16","民主進步黨","11780"
"臺北市","臺北市第02選區","63","000","02","000","","3","陳義洲","1","中國國民黨","13947"
"臺北市","臺北市第02選區","63","000","02","000","","4","李明賢","1","中國國民黨","20198"
"臺北市","臺北市第02選區","63","000","02","000","","5","李建昌","16","民主進步黨","12588"
"臺北市","臺北市第02選區","63","000","02","000","","6","黃珊珊","90","親民黨","26113"
"臺北市","臺北市第02選區","63","000","02","000","","7","游淑慧","1","中國國民黨","20013"
"臺北市","臺北市第02選區","63","000","02","000","","8","蕭新晟","267","時代力量","8502"
"臺北市","臺北市第02選區","63","000","02","000","","9","蕭筱臻","303","基進黨","1195"
"臺北市","臺北市第02選區","63","000","02","000","","10","吳世正","1","中國國民黨","13208"
"臺北市","臺北市第02選區","63","000","02","000","","11","高嘉瑜","16","民主進步黨","34285"
"臺北市","臺北市第02選區","63","000","02","000","","12","陳又新","269","社會民主黨","5037"
"臺北市","臺北市第02選區","63","000","02","000","","13","江志銘","16","民主進步黨","12825"
"臺北市","臺北市第02選區","63","000","02","000","","14","吳曉東","259","樹黨","1166"
"臺北市","臺北市第02選區","63","000","02","000","","15","趙家蓉","74","新黨","5873"
"臺北市","南港區","63","000","02","090","","1","闕枚莎","1","中國國民黨","13641"
"臺北市","南港區","63","000","02","090","","2","王孝維","16","民主進步黨","3854"
"臺北市","南港區","63","000","02","090","","3","陳義洲","1","中國國民黨","1067"
"臺北市","南港區","63","000","02","090","","4","李明賢","1","中國國民黨","6477"
"臺北市","南港區","63","000","02","090","","5","李建昌","16","民主進步黨","3763"
"臺北市","南港區","63","000","02","090","","6","黃珊珊","90","親民黨","6533"
"臺北市","南港區","63","000","02","090","","7","游淑慧","1","中國國民黨","6384"
"臺北市","南港區","63","000","02","090","","8","蕭新晟","267","時代力量","2292"
"臺北市","南港區","63","000","02","090","","9","蕭筱臻","303","基進黨","441"
"臺北市","南港區","63","000","02","090","","10","吳世正","1","中國國民黨","2243"
"臺北市","南港區","63","000","02","090","","11","高嘉瑜","16","民主進步黨","9936"
"臺北市","南港區","63","000","02","090","","12","陳又新","269","社會民主黨","1367"
"臺北市","南港區","63","000","02","090","","13","江志銘","16","民主進步黨","4411"
"臺北市","南港區","63","000","02","090","","14","吳曉東","259","樹黨","288"
"臺北市","南港區","63","000","02","090","","15","趙家蓉","74","新黨","2037"
"臺北市","內湖區","63","000","02","100","","1","闕枚莎","1","中國國民黨","10607"
"臺北市","內湖區","63","000","02","100","","2","王孝維","16","民主進步黨","7926"
"臺北市","內湖區","63","000","02","100","","3","陳義洲","1","中國國民黨","12880"
"臺北市","內湖區","63","000","02","100","","4","李明賢","1","中國國民黨","13721"
"臺北市","內湖區","63","000","02","100","","5","李建昌","16","民主進步黨","8825"
