"show_city","show_town","province","city","electoral_district","town","village","candidate_no","candidate_name","political_party","party_name","vote_count"
"臺北市","臺北市","63","000","00","000","","1","吳蕚洋","999","無黨籍及未經政黨推薦","5611"
"臺北市","臺北市","63","000","00","000","","2","丁守中","1","中國國民黨","577096"
"臺北市","臺北市","63","000","00","000","","3","姚文智","16","民主進步黨","244342"
"臺北市","臺北市","63","000","00","000","","4","柯文哲","999","無黨籍及未經政黨推薦","580663"
"臺北市","臺北市","63","000","00","000","","5","李錫錕","999","無黨籍及未經政黨推薦","6158"
"臺北市","松山區","63","000","00","010","","1","吳蕚洋","999","無黨籍及未經政黨推薦","425"
"臺北市","松山區","63","000","00","010","","2","丁守中","1","中國國民黨","46353"
"臺北市","松山區","63","000","00","010","","3","姚文智","16","民主進步黨","17285"
"臺北市","松山區","63","000","00","010","","4","柯文哲","999","無黨籍及未經政黨推薦","42315"
"臺北市","松山區","63","000","00","010","","5","李錫錕","999","無黨籍及未經政黨推薦","417"
"臺北市","信義區","63","000","00","020","","1","吳蕚洋","999","無黨籍及未經政黨推薦","500"
"臺北市","信義區","63","000","00","020","","2","丁守中","1","中國國民黨","53812"
"臺北市","信義區","63","000","00","020","","3","姚文智","16","民主進步黨","19849"
"臺北市","信義區","63","000","00","020","","4","柯文哲","999","無黨籍及未經政黨推薦","47620"
"臺北市","信義區","63","000","00","020","","5","李錫錕","999","無黨籍及未經政黨推薦","509"
"臺北市","大安區","63","000","00","030","","1","吳蕚洋","999","無黨籍及未經政黨推薦","582"
"臺北市","大安區","63","000","00","030","","2","丁守中","1","中國國民黨","72311"
"臺北市","大安區","63","000","00","030","","3","姚文智","16","民主進步黨","23646"
"臺北市","大安區","63","000","00","030","","4","柯文哲","999","無黨籍及未經政黨推薦","60940"
"臺北市","大安區","63","000","00","030","","5","李錫錕","999","無黨籍及未經政黨推薦","658"
"臺北市","中山區","63","000","00","040","","1","吳蕚洋","999","無黨籍及未經政黨推薦","476"
"臺北市","中山區","63","000","00","040","","2","丁守中","1","中國國民黨","46732"
"臺北市","中山區","63","000","00","040","","3","姚文智","16","民主進步黨","23476"
"臺北市","中山區","63","000","00","040","","4","柯文哲","999","無黨籍及未經政黨推薦","50582"
