city,town,kmt,dpp,tpp
南投縣,南投市,3,4,1
南投縣,名間鄉,2,1,0
南投縣,埔里鎮,7,9,10
南投縣,竹山鎮,6,11,3
南投縣,草屯鎮,19,17,17
台中市,中區,2,3,1
台中市,北區,7,5,2
台中市,北屯區,33,9,10
台中市,南區,1,1,0
台中市,南屯區,6,6,2
台中市,后里區,1,0,0
台中市,大安區,1,0,0
台中市,大甲區,1,1,0
台中市,大里區,5,4,1
台中市,大雅區,13,10,6
台中市,太平區,12,4,7
台中市,新社區,1,0,0
台中市,東勢區,1,0,0
台中市,東區,16,21,28
台中市,梧棲區,3,3,5
台中市,沙鹿區,4,3,0
台中市,清水區,4,1,1
台中市,潭子區,13,7,4
台中市,石岡區,1,0,0
台中市,西區,3,5,6
台中市,西屯區,29,58,29
台中市,豐原區,11,7,9
台中市,霧峰區,18,24,37
台中市,龍井區,16,2,4
台北市,中山區,210,109,148
台北市,中正區,287,362,42
台北市,信義區,290,183,16
台北市,內湖區,178,309,489
台北市,北投區,237,362,186
台北市,南港區,137,121,207
台北市,士林區,408,691,1154
台北市,大同區,302,463,377
台北市,大安區,297,135,224
台北市,文山區,375,676,510
台北市,松山區,180,60,56
台北市,萬華區,1878,3633,4782
台南市,仁德區,2,3,1
台南市,佳里區,4,4,2
台南市,北區,3,4,7
台南市,南區,1,0,0
台南市,大內區,2,1,1
台南市,安南區,11,1,1
台南市,安平區,3,2,1
台南市,新營區,3,6,0
台南市,東區,3,5,4
台南市,永康區,1,1,1
台南市,白河區,9,14,7
台南市,西港區,3,3,1
台南市,麻豆區,4,8,13
台東縣,卑南鄉,1,2,2
台東縣,太麻里,13,6,10
台東縣,成功鎮,1,0,0
台東縣,金峰鄉,7,10,7
嘉義市,東區,1,2,3
嘉義市,西區,9,0,0
嘉義縣,中埔鄉,1,2,2
嘉義縣,大林鎮,12,0,0
嘉義縣,太保市,2,0,0
嘉義縣,東石鄉,1,0,0
嘉義縣,梅山鄉,1,2,4
嘉義縣,民雄鄉,2,0,0
嘉義縣,水上鄉,8,6,4
嘉義縣,溪口鄉,1,0,0
嘉義縣,鹿草鄉,4,4,2
基隆市,七堵區,37,48,66
基隆市,中山區,68,33,64
基隆市,中正區,22,42,59
基隆市,仁愛區,66,2,4
基隆市,信義區,27,18,33
基隆市,安樂區,70,15,21
基隆市,暖暖區,25,12,1
宜蘭縣,五結鄉,10,5,9
宜蘭縣,冬山鄉,10,3,3
宜蘭縣,南澳鄉,7,5,10
宜蘭縣,員山鄉,2,3,4
宜蘭縣,壯圍鄉,7,10,1
宜蘭縣,宜蘭市,28,13,25
宜蘭縣,礁溪鄉,11,16,16
宜蘭縣,羅東鎮,12,20,36
宜蘭縣,蘇澳鎮,3,1,1
宜蘭縣,頭城鎮,8,11,9
屏東縣,九如鄉,2,1,2
屏東縣,屏東市,7,1,2
屏東縣,東港鎮,3,4,4
屏東縣,枋寮鄉,2,1,2
屏東縣,枋山鄉,13,25,23
屏東縣,潮州鎮,14,0,0
屏東縣,竹田鄉,1,2,0
屏東縣,萬巒鄉,2,2,2
屏東縣,長治鄉,2,0,0
屏東縣,鹽埔鄉,2,0,0
彰化縣,二林鎮,13,4,3
彰化縣,二水鄉,2,1,2
彰化縣,伸港鄉,1,0,0
彰化縣,北斗鎮,1,0,0
彰化縣,和美鎮,5,2,0
彰化縣,員林市,36,52,46
彰化縣,埔心鄉,31,52,21
彰化縣,埔鹽鄉,4,2,4
彰化縣,埤頭鄉,21,8,5
彰化縣,大城鄉,2,1,0
彰化縣,大村鄉,5,2,2
彰化縣,彰化市,25,43,27
彰化縣,永靖鄉,11,9,18
彰化縣,溪州鄉,4,5,6
彰化縣,溪湖鎮,63,29,49
彰化縣,田中鎮,15,9,0
彰化縣,田尾鄉,2,1,0
彰化縣,社頭鄉,2,3,4
彰化縣,福興鄉,7,3,5
彰化縣,秀水鄉,7,10,18
彰化縣,竹塘鄉,1,0,0
彰化縣,芬園鄉,4,7,5
彰化縣,花壇鄉,3,0,0
彰化縣,芳苑鄉,2,3,2
彰化縣,鹿港鎮,3,2,0
新北市,三峽區,99,56,24
新北市,三芝區,7,1,2
新北市,三重區,869,76,6
新北市,中和區,1126,577,805
新北市,五股區,177,164,14
新北市,八里區,34,34,5
新北市,土城區,491,781,312
新北市,坪林區,1,1,1
新北市,新店區,380,216,198
新北市,新莊區,624,1112,1101
新北市,板橋區,1427,2838,2274
新北市,林口區,90,47,66
新北市,樹林區,195,257,481
新北市,永和區,505,45,81
新北市,汐止區,208,20,37
新北市,泰山區,102,28,33
新北市,淡水區,150,3,4
新北市,深坑區,31,0,0
新北市,烏來區,2,4,0
新北市,瑞芳區,13,24,28
新北市,石碇區,11,22,29
新北市,石門區,4,5,6
新北市,萬里區,5,9,17
新北市,蘆洲區,307,466,876
新北市,貢寮區,1,1,0
新北市,金山區,19,22,22
新北市,鶯歌區,30,15,30
新竹市,北區,7,2,0
新竹市,東區,19,21,36
新竹市,香山區,14,10,8
新竹縣,寶山鄉,3,6,2
新竹縣,峨眉鄉,2,1,1
新竹縣,新埔鎮,1,2,0
新竹縣,新豐鄉,1,0,0
新竹縣,橫山鄉,1,0,0
新竹縣,湖口鄉,8,11,6
